fromZone,toZone,coldOrWarm,essentialBytes,optionalBytes,elevatorAnimationMs,extraWaitMs,totalTransitionMs,transitionStart,essentialReady,zoneBuilt,transitionEnd,status
BOOT,first_campus_3f,cold,24589436,0,0,0,3675,,,,,
first_campus_3f,first_campus_4f,cold,250612,77516,1700,4.899999976158142,5401.200000047684,6008.799999952316,7713.699999928474,7831.199999928474,11410,
BOOT,first_campus_3f,warm,8100,0,0,0,2066,,,,,
first_campus_3f,first_campus_4f,warm,300,900,1700,5.299999952316284,2374.6999999284744,2314.2000000476837,4019.5,4113.800000071526,4688.899999976158,
first_campus_4f,first_campus_2f,cold,25304798,56336,1700,2.899999976158142,4278.899999976158,3615.399999976158,5318.299999952316,5482.299999952316,7894.299999952316,
first_campus_4f,first_campus_2f,warm,16437936,600,1700,1.2999999523162842,2474.1999999284744,2621.100000023842,4322.399999976158,4483.299999952316,5095.299999952316,
first_campus_2f,first_campus_3f,cold,0,0,1700,490.6999999284744,3100.899999976158,4944.700000047684,7135.399999976158,7236,8045.600000023842,
first_campus_2f,first_campus_3f,warm,0,0,1700,4.399999976158142,1883.6000000238419,4556.100000023842,6260.5,6348.5,6439.700000047684,
first_campus_3f,first_campus_1f,cold,25054186,27176,1700,1143.4000000953674,5071.5,2482.6999999284744,5326.100000023842,5439.299999952316,7554.199999928474,
first_campus_3f,first_campus_1f,warm,16437636,300,1700,2.100000023841858,2249,2362.1999999284744,4064.2999999523163,4152.5,4611.199999928474,
second_campus_5f,second_campus_2f,cold,250612,0,1700,0.8999999761581421,4203.5,2579.2999999523163,4280.199999928474,4345.399999976158,6782.799999952316,
second_campus_5f,second_campus_2f,warm,300,0,1700,0.5999999046325684,2313.7999999523163,3075.100000023842,4775.699999928474,4840.100000023842,5388.899999976158,
