fromZone,toZone,coldOrWarm,essentialBytes,optionalBytes,elevatorAnimationMs,extraWaitMs,totalTransitionMs,transitionStart,essentialReady,zoneBuilt,transitionEnd,status
BOOT,first_campus_3f,cold,24587262,0,0,0,3424,,,,,
first_campus_3f,first_campus_4f,cold,250612,77516,1700,3.1999999284744263,5428.199999928474,5710.900000095367,7414.100000023842,7521.200000047684,11139.100000023842,
BOOT,first_campus_3f,warm,8100,0,0,0,3433,,,,,
first_campus_3f,first_campus_4f,warm,300,900,1700,2.600000023841858,2361.2999999523163,3685.399999976158,5388,5479.799999952316,6046.699999928474,
first_campus_4f,first_campus_2f,cold,25304798,56336,1700,1.100000023841858,4291.100000023842,4147.399999976158,5848.5,6007.599999904633,8438.5,
first_campus_4f,first_campus_2f,warm,16437936,600,1700,3.8000000715255737,2902,2670.6999999284744,4374.5,4541.600000023842,5572.699999928474,
first_campus_2f,first_campus_3f,cold,0,0,1700,0.6000000238418579,2597.899999976158,7414.699999928474,9115.299999952316,9209.899999976158,10012.599999904633,
first_campus_2f,first_campus_3f,warm,0,0,1700,4.200000047683716,2198.8000000715256,4979.099999904633,6683.299999952316,6769.599999904633,7177.899999976158,
first_campus_3f,first_campus_1f,cold,25054186,27176,1700,416.90000009536743,4600.100000023842,2431.399999976158,4548.300000071526,4648.300000071526,7031.5,
first_campus_3f,first_campus_1f,warm,16437636,300,1700,4,2465.2999999523163,2333,4037,4125.799999952316,4798.299999952316,
second_campus_5f,second_campus_2f,cold,250612,0,1700,4.899999976158142,4260,2865.1999999284744,4570.099999904633,4638.799999952316,7125.199999928474,
second_campus_5f,second_campus_2f,warm,300,0,1700,4.5,2307.7999999523163,2194,3898.5,3962.2000000476837,4501.799999952316,
